run_id,growth_rate,balancing_strength,target,delay,capacity,threshold,threshold_correction,shock_size,minimum_stock,maximum_stock,final_stock,time_to_peak,maximum_inflow,maximum_outflow,threshold_active_periods
252,0.116788,0.045691,59.724641,5,68.493783,65.054689,0.046874,-5.803067,15.000000,65.798542,65.748524,44,1.999762,0.277524,114
253,0.102107,0.033363,58.932360,3,77.134455,83.619940,0.030719,-14.326645,15.000000,72.435460,72.435460,160,1.968871,0.450495,0
254,0.084727,0.064005,64.641874,7,81.128301,70.954002,0.028962,-14.641077,15.000000,73.978187,73.158363,114,1.718277,0.597572,105
255,0.091782,0.082179,62.523702,7,109.947910,80.470593,0.056491,-8.483073,15.000000,86.403068,83.219835,38,2.521569,1.962387,119
256,0.060541,0.049283,56.673535,8,105.423262,70.569034,0.037641,-15.279472,15.000000,78.103860,77.114604,55,1.595597,1.056141,107
257,0.104772,0.087730,57.366086,4,74.071490,86.744952,0.059106,-9.326938,15.000000,66.259881,65.976777,38,1.939665,0.780255,0
258,0.064092,0.082854,67.679341,7,87.394765,79.165987,0.102711,-12.555778,15.000000,76.920348,75.595245,60,1.400282,0.765651,0
259,0.122046,0.077061,46.976785,3,92.433338,83.192243,0.080097,-9.371328,15.000000,72.097803,72.097803,90,2.819650,1.935847,0
260,0.074305,0.057355,59.607593,7,100.352247,81.443759,0.042093,-5.174055,15.000000,81.187532,80.353562,51,1.864005,1.237712,0
261,0.118490,0.053722,53.167347,10,77.722124,75.020907,0.052584,-10.653589,15.000000,71.834481,69.475606,36,2.301518,1.002841,0
262,0.107038,0.085732,64.244502,13,73.386116,92.916702,0.024503,-12.309527,15.000000,71.488903,69.531456,47,1.963735,0.621078,0
263,0.105212,0.058696,62.648078,5,78.805250,89.815857,0.083597,-12.153806,15.000000,72.851653,72.717418,45,2.072805,0.598909,0
264,0.099430,0.035607,60.742410,2,66.122250,68.521962,0.075321,-10.226511,15.000000,64.680150,64.680150,160,1.642670,0.140206,0
265,0.071269,0.068339,53.684706,4,67.422684,75.957097,0.032035,-14.444089,15.000000,60.317208,60.315376,131,1.201185,0.453260,0
266,0.077267,0.027305,45.004539,6,70.879791,92.515344,0.070640,-11.002051,15.000000,63.562352,63.562352,160,1.369056,0.506618,0
267,0.109561,0.083643,46.703377,4,90.149932,93.476817,0.028739,-15.427305,15.000000,68.596560,68.351903,34,2.469228,1.831213,0
268,0.123280,0.026284,64.006142,2,106.584197,86.218999,0.045814,-12.893727,15.000000,95.331078,95.331078,160,3.284899,0.823353,130
269,0.124157,0.021643,57.841781,2,109.485364,75.291740,0.055702,-15.592772,15.000000,92.946776,92.946776,160,3.397813,0.759780,139
270,0.094860,0.065302,60.417061,4,85.306245,83.219366,0.034693,-12.033898,15.000000,74.326641,74.320355,53,2.022161,0.908326,0
271,0.095858,0.034787,48.126435,10,74.494723,80.506895,0.022581,-7.577881,15.000000,67.679817,66.904303,45,1.784570,0.680197,0
272,0.065928,0.050805,66.702378,4,97.388929,84.818331,0.096371,-14.871165,15.000000,82.797749,82.797749,160,1.605109,0.817688,0
273,0.110125,0.025699,53.174731,2,92.352871,88.095262,0.022202,-8.222596,15.000000,84.381189,84.381189,160,2.542278,0.801980,0
274,0.124911,0.034232,51.639579,9,67.667109,73.723453,0.100427,-7.575694,15.000000,64.572893,64.069730,39,2.112599,0.442737,0
275,0.076983,0.022179,55.768305,4,101.845107,93.534247,0.064293,-13.097517,15.000000,90.548423,90.548423,160,1.960002,0.771140,0
276,0.075115,0.042659,47.372352,4,102.247623,82.307561,0.036677,-9.408726,15.000000,78.994698,78.994698,160,1.919965,1.348825,0
277,0.118970,0.082268,47.615141,14,93.239014,82.908969,0.074330,-12.671465,15.000000,83.198803,71.383024,34,2.772780,2.927382,3
278,0.124079,0.040457,52.020258,2,101.236455,69.811175,0.082447,-12.144520,15.000000,80.563502,80.563502,90,3.137971,1.154779,138
279,0.085988,0.083374,57.286667,14,74.097782,84.588599,0.027183,-11.531520,15.000000,69.461447,65.365928,49,1.592795,1.015066,0
280,0.105837,0.073335,61.499201,10,89.746798,81.374478,0.068167,-6.660068,15.000000,81.258372,77.197101,39,2.373165,1.449036,0
281,0.088709,0.060680,61.273716,6,86.848874,92.152628,0.059894,-15.842983,15.000000,76.081101,75.594933,47,1.926052,0.898506,0
282,0.068346,0.032423,67.906806,5,76.322399,73.851250,0.096403,-4.488042,15.000000,73.545539,73.545539,160,1.304044,0.182803,0
